"list","icon","coul"
"aucun","aucun","#e5f1ec"
"artichaut","artich","#e796e9"
"asperges","asperg","#2ff30c"
"aubergine","auber","#8080ff"
"betterave","betrav","#ff0080"
"bettes","chard","#008080"
"carottes","carot","#f1b108"
"celeri","celeriac","#a3906d"
"choux","chou","#abe4a2"
"concombre","conc","#00b300"
"courgettes","courg","#1ecf77"
"endives","endiv","#f8f8e9"
"fenouil","fennel","#80ffff"
"feve","feve","#808040"
"fraises","fraise","#ff8080"
"framboises","framb","#fbe2fe"
"haricots grains","bean","#800000"
"haricots verts","haricov","#d7ffae"
"mais","epima","#ffff00"
"oignons","onion","#8000ff"
"panais","panais","#c9c994"
"poireaux","leek","#008040"
"pois","pois","#41fc70"
"poivrons","pepper","#d2d200"
"pomme-de-terre","potato","#804040"
"potirons","pum","#ffc891"
"radis","radis","#fdace7"
"salade","salad","#04fb4f"
"tomates","tomat","#ff0000"
"navets","turnip","#c0c0c0"
"epinards","spin","#20ff20"
"mache","mache","#3815a2"
